period,state,stateName,technology,sector,sectorName,capacity,customers,capacity-units,customers-units
2024,AK,Alaska,All Technologies,COM,commercial,2.646,242,megawatts,number of customers
2024,AK,Alaska,All Technologies,IND,industrial,.121,9,megawatts,number of customers
2024,AK,Alaska,All Technologies,RES,residential,14.421,2771,megawatts,number of customers
2024,AK,Alaska,All Technologies,TOT,all sectors,17.188,3022,megawatts,number of customers
2024,AK,Alaska,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2024,AL,Alabama,All Technologies,COM,commercial,.522,6,megawatts,number of customers
2024,AL,Alabama,All Technologies,IND,industrial,0,0,megawatts,number of customers
2024,AL,Alabama,All Technologies,RES,residential,.871,77,megawatts,number of customers
2024,AL,Alabama,All Technologies,TOT,all sectors,1.393,83,megawatts,number of customers
2024,AL,Alabama,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2024,AR,Arkansas,All Technologies,COM,commercial,132.094,1006,megawatts,number of customers
2024,AR,Arkansas,All Technologies,IND,industrial,47.86,72,megawatts,number of customers
2024,AR,Arkansas,All Technologies,RES,residential,171.861,19659,megawatts,number of customers
2024,AR,Arkansas,All Technologies,TOT,all sectors,351.815,20737,megawatts,number of customers
2024,AR,Arkansas,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2024,AZ,Arizona,All Technologies,COM,commercial,656.043,5162,megawatts,number of customers
2024,AZ,Arizona,All Technologies,IND,industrial,10.48,9,megawatts,number of customers
2024,AZ,Arizona,All Technologies,RES,residential,2278.233,317286,megawatts,number of customers
2024,AZ,Arizona,All Technologies,TOT,all sectors,2944.755,322457,megawatts,number of customers
2024,AZ,Arizona,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2024,CA,California,All Technologies,COM,commercial,3960.047,44802,megawatts,number of customers
2024,CA,California,All Technologies,IND,industrial,2090.01,6995,megawatts,number of customers
2024,CA,California,All Technologies,RES,residential,12772.375,2100679,megawatts,number of customers
2024,CA,California,All Technologies,TOT,all sectors,18822.433,2152476,megawatts,number of customers
2024,CA,California,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2024,CO,Colorado,All Technologies,COM,commercial,232.744,5673,megawatts,number of customers
2024,CO,Colorado,All Technologies,IND,industrial,37.036,147,megawatts,number of customers
2024,CO,Colorado,All Technologies,RES,residential,940.857,182390,megawatts,number of customers
2024,CO,Colorado,All Technologies,TOT,all sectors,1210.636,188210,megawatts,number of customers
2024,CO,Colorado,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2024,CT,Connecticut,All Technologies,COM,commercial,415.31,3576,megawatts,number of customers
2024,CT,Connecticut,All Technologies,IND,industrial,50.718,151,megawatts,number of customers
2024,CT,Connecticut,All Technologies,RES,residential,800.792,103856,megawatts,number of customers
2024,CT,Connecticut,All Technologies,TOT,all sectors,1266.82,107583,megawatts,number of customers
2024,CT,Connecticut,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2024,DC,District of Columbia,All Technologies,COM,commercial,61.896,1016,megawatts,number of customers
2024,DC,District of Columbia,All Technologies,IND,industrial,0,0,megawatts,number of customers
2024,DC,District of Columbia,All Technologies,RES,residential,117.151,28371,megawatts,number of customers
2024,DC,District of Columbia,All Technologies,TOT,all sectors,179.047,29387,megawatts,number of customers
2024,DC,District of Columbia,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2024,DE,Delaware,All Technologies,COM,commercial,39.599,756,megawatts,number of customers
2024,DE,Delaware,All Technologies,IND,industrial,10.133,27,megawatts,number of customers
2024,DE,Delaware,All Technologies,RES,residential,108.649,14174,megawatts,number of customers
2024,DE,Delaware,All Technologies,TOT,all sectors,158.382,14957,megawatts,number of customers
2024,DE,Delaware,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2024,FL,Florida,All Technologies,COM,commercial,191.739,4025,megawatts,number of customers
2024,FL,Florida,All Technologies,IND,industrial,44.695,787,megawatts,number of customers
2024,FL,Florida,All Technologies,RES,residential,2585.88,290580,megawatts,number of customers
2024,FL,Florida,All Technologies,TOT,all sectors,2822.314,295392,megawatts,number of customers
2024,FL,Florida,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2024,GA,Georgia,All Technologies,COM,commercial,44.261,810,megawatts,number of customers
2024,GA,Georgia,All Technologies,IND,industrial,7.463,64,megawatts,number of customers
2024,GA,Georgia,All Technologies,RES,residential,143.133,22579,megawatts,number of customers
2024,GA,Georgia,All Technologies,TOT,all sectors,194.857,23453,megawatts,number of customers
2024,GA,Georgia,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2024,HI,Hawaii,All Technologies,COM,commercial,131.587,4077,megawatts,number of customers
2024,HI,Hawaii,All Technologies,IND,industrial,1.647,35,megawatts,number of customers
2024,HI,Hawaii,All Technologies,RES,residential,531.816,98447,megawatts,number of customers
2024,HI,Hawaii,All Technologies,TOT,all sectors,665.05,102559,megawatts,number of customers
2024,HI,Hawaii,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2024,IA,Iowa,All Technologies,COM,commercial,155.328,4170,megawatts,number of customers
2024,IA,Iowa,All Technologies,IND,industrial,14.407,64,megawatts,number of customers
2024,IA,Iowa,All Technologies,RES,residential,140.022,18554,megawatts,number of customers
2024,IA,Iowa,All Technologies,TOT,all sectors,309.757,22788,megawatts,number of customers
2024,IA,Iowa,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2024,ID,Idaho,All Technologies,COM,commercial,10.383,461,megawatts,number of customers
2024,ID,Idaho,All Technologies,IND,industrial,18.379,244,megawatts,number of customers
2024,ID,Idaho,All Technologies,RES,residential,149.293,23062,megawatts,number of customers
2024,ID,Idaho,All Technologies,TOT,all sectors,178.053,23767,megawatts,number of customers
2024,ID,Idaho,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2024,IL,Illinois,All Technologies,COM,commercial,677.827,14155,megawatts,number of customers
2024,IL,Illinois,All Technologies,IND,industrial,6.926,8,megawatts,number of customers
2024,IL,Illinois,All Technologies,RES,residential,945.895,136536,megawatts,number of customers
2024,IL,Illinois,All Technologies,TOT,all sectors,1630.649,150699,megawatts,number of customers
