period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2024,SAR-Z00,USA-AR,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SAR-Z00_MMCF,Arkansas Natural Gas International Deliveries (Million Cubic Feet),0,MMCF
2024,SNE-Z00,USA-NE,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SNE-Z00_MMCF,Nebraska Natural Gas International Deliveries (Million Cubic Feet),0,MMCF
2024,SMO-Z00,USA-MO,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SMO-Z00_MMCF,Missouri Natural Gas International Deliveries (Million Cubic Feet),0,MMCF
2024,SAZ-NMX,MEX,EPG0,Natural Gas,EEI,Exports + Intransit,NA1280_SAZ-NMX_2,Arizona Natural Gas International Deliveries to Mexico (MMcf),82851,MMCF
2024,SCA-NMX,MEX,EPG0,Natural Gas,EEI,Exports + Intransit,NA1280_SCA-NMX_2,California Natural Gas International Deliveries to Mexico (MMcf),155767,MMCF
2024,STX-NMX,MEX,EPG0,Natural Gas,EEI,Exports + Intransit,NA1280_STX-NMX_2,Texas Natural Gas International Deliveries to Mexico (MMcf),2132426,MMCF
2024,SGA-NMX,MEX,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SGA-NMX_MMCF,Georgia Natural Gas International Deliveries to Mexico (Million Cubic Feet),31,MMCF
2024,SLA-NAR,ARG,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SLA-NAT_MMCF,Louisiana Natural Gas International Deliveries to Argentina (Million Cubic Feet),26195,MMCF
2024,SMD-NAR,ARG,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SMD-NAR_MMCF,Maryland Natural Gas International Deliveries to Argentina (Million Cubic Feet),3505,MMCF
2024,STX-NAR,ARG,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_STX-NAR_MMCF,Texas Natural Gas International Deliveries to Argentina (Million Cubic Feet),22139,MMCF
2024,STX-NEG,EGY,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_STX-NEG_MMCF,Alaska Natural Gas International Deliveries to Egypt (MMcf),39554,MMCF
2024,SGA-NNL,NLD,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SGA-NNL_MMCF,Georgia Natural Gas International Deliveries to Netherlands (Million Cubic Feet),25871,MMCF
2024,SLA-NNL,NLD,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SLA-NNL_MMCF,Louisiana Natural Gas International Deliveries to Netherlands (MMcf),264211,MMCF
2024,SMD-NNL,NLD,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SMD-NNL_MMCF,Maryland Natural Gas International Deliveries to Netherlands (Million Cubic Feet),31360,MMCF
2024,STX-NNL,NLD,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_STX-NNL_MMCF,Texas Natural Gas International Deliveries to Netherlands (Million Cubic Feet),142328,MMCF
2024,SMD-NTU,TUR,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SMD-NTU_MMCF,Maryland Natural Gas International Deliveries to Turkiye (Million Cubic Feet),7182,MMCF
2024,STX-NTU,TUR,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_STX-NTU_MMCF,Texas Natural Gas International Deliveries to Turkiye (MMcf),85838,MMCF
2024,SLA-NTH,THA,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SLA-NTH_MMCF,Louisiana Natural Gas International Deliveries to Thailand (MMcf),69620,MMCF
2024,SMD-NTH,THA,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SMD-NTH_MMCF,Maryland Natural Gas International Deliveries to Thailand (Million Cubic Feet),10763,MMCF
2024,STX-NTH,THA,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_STX-NTH_MMCF,Texas Natural Gas International Deliveries to Thailand (Million Cubic Feet),27746,MMCF
2024,SLA-NBG,BGD,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SLA-NBG_MMCF,Louisiana Natural Gas International Deliveries to Bangladesh (Million Cubic Feet),18959,MMCF
